planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
lava_world,V I,447,1.0,26,50.941,2.42,2407,24.1
lava_world,Cr I,447,1.0,26,51.996,2.45,2407,24.1
lava_world,Fe I,447,1.0,26,55.845,2.44,2407,24.1
lava_world,Mn I,447,1.0,26,54.938,2.45,2407,24.1
lava_world,Ti I,447,1.0,26,47.867,2.46,2407,24.1
lava_world,Mg I,447,1.0,26,24.305,2.51,2407,24.1
lava_world,Na I,447,1.0,26,22.99,2.5,2407,24.1
lava_world,OCS,448,1.0,26,60.075,2.55,2407,24.1
lava_world,Sc I,448,1.0,26,44.956,2.58,2407,24.1
lava_world,Ca I,449,1.0,26,40.078,2.62,2407,24.1
lava_world,SO2,449,1.0,26,64.066,2.65,2407,24.1
lava_world,K I,450,1.0,26,39.098,2.73,2407,24.1
lava_world,H2O,450,1.0,26,18.015,2.75,2407,24.1
lava_world,NaCl,451,1.0,26,58.443,2.8,2407,24.1
lava_world,H2S,452,1.0,26,34.081,2.9,2407,24.1
mars_like,H I,243,1.0,13,1.008,1.2,1096,11.0
mars_like,He I,245,1.0,13,4.003,1.43,1096,11.0
mars_like,H2,245,1.0,13,2.016,1.45,1096,11.0
mars_like,F I,245,1.0,13,18.998,1.47,1096,11.0
mars_like,O I,245,1.0,13,15.999,1.5,1096,11.0
mars_like,Be I,246,1.0,13,9.012,1.53,1096,11.0
mars_like,Ne I,246,1.0,13,20.18,1.54,1096,11.0
mars_like,N I,246,1.0,13,14.007,1.66,1096,11.0
mars_like,Cl I,247,1.0,13,35.45,1.75,1096,11.0
mars_like,OH,247,1.0,13,17.007,1.75,1096,11.0
mars_like,C I,247,1.0,13,12.011,1.77,1096,11.0
mars_like,Li I,247,1.0,13,6.94,1.82,1096,11.0
mars_like,Ar I,248,1.0,13,39.948,1.88,1096,11.0
mars_like,P I,248,1.0,13,30.974,1.9,1096,11.0
mars_like,S I,248,1.0,13,32.06,1.89,1096,11.0
mars_like,B I,248,1.0,13,10.81,1.92,1096,11.0
mars_like,CH4,249,1.0,13,16.042,2.0,1096,11.0
mars_like,O2,249,1.0,13,31.999,2.05,1096,11.0
mars_like,CO,249,1.0,13,28.01,2.1,1096,11.0
mars_like,NO,249,1.0,13,30.006,2.15,1096,11.0
mars_like,NH3,250,1.0,13,17.031,2.2,1096,11.0
mars_like,SO,250,1.0,13,48.059,2.2,1096,11.0
mars_like,Si I,250,1.0,13,28.085,2.19,1096,11.0
mars_like,SiO,250,1.0,13,44.084,2.2,1096,11.0
mars_like,Al I,250,1.0,13,26.982,2.25,1096,11.0
mars_like,HCN,250,1.0,13,27.026,2.25,1096,11.0
mars_like,CO2,250,1.0,13,44.01,2.3,1096,11.0
mars_like,TiO,250,1.0,13,63.866,2.3,1096,11.0
mars_like,PH3,250,1.0,13,33.998,2.35,1096,11.0
mars_like,C3,251,1.0,13,36.033,2.4,1096,11.0
mars_like,V I,251,1.0,13,50.941,2.42,1096,11.0
mars_like,Fe I,251,1.0,13,55.845,2.44,1096,11.0
mars_like,Cr I,251,1.0,13,51.996,2.45,1096,11.0
mars_like,Mn I,251,1.0,13,54.938,2.45,1096,11.0
mars_like,Ti I,251,1.0,13,47.867,2.46,1096,11.0
mars_like,Na I,251,1.0,13,22.99,2.5,1096,11.0
mars_like,Mg I,251,1.0,13,24.305,2.51,1096,11.0
mars_like,OCS,252,1.0,13,60.075,2.55,1096,11.0
mars_like,Sc I,252,1.0,13,44.956,2.58,1096,11.0
mars_like,Ca I,252,1.0,13,40.078,2.62,1096,11.0
mars_like,SO2,252,1.0,13,64.066,2.65,1096,11.0
mars_like,K I,252,1.0,13,39.098,2.73,1096,11.0
mars_like,H2O,253,1.0,13,18.015,2.75,1096,11.0
