species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
SO2	10	10.0	F8	6000	5.884512431567764e-06		3.088493967969539e+17
SO2	10	10.0	A6	8000	1.1320508702621654e-05		3.097908779444851e+17
SO2	10	10.0	A0	10000	1.9792843867435354e-05		3.097980722450468e+17
SO2	10	10.0	B5	15000	3.188290801441816e-05		3.102300537671602e+17
SO2	10	10.0	B0	30000	4.64553737947261e-05		3.1070468942096365e+17
SO2	10	10.0	O0	50000	0.0001001793118218293		3.108562426590553e+17
SO2	100	100.0	M6	3000	3.8570955035048353e-07		3.0187079162719846e+18
SO2	100	100.0	K1	5000	3.212545814290193e-06		3.090427715131293e+18
SO2	100	100.0	F8	6000	5.888796539281908e-06		3.094406505124089e+18
SO2	100	100.0	A6	8000	1.1323349328130338e-05		3.0983066639736387e+18
SO2	100	100.0	A0	10000	1.979111906379622e-05		3.097847650134176e+18
SO2	100	100.0	B5	15000	3.1883115698314535e-05		3.1022078653591465e+18
SO2	100	100.0	B0	30000	4.64531638428063e-05		3.1069721911246536e+18
SO2	100	100.0	O0	50000	0.00010017908132837725		3.1085320871064346e+18
SiO	0	1e-20	M6	3000	0.0		
SiO	0	1e-20	K1	5000	0.0		
SiO	0	1e-20	F8	6000	0.0		
SiO	0	1e-20	A6	8000	0.0		
SiO	0	1e-20	A0	10000	0.0		
SiO	0	1e-20	B5	15000	0.0		
SiO	0	1e-20	B0	30000	0.0		
SiO	0	1e-20	O0	50000	0.0		
SiO	1	1.0	M6	3000	4.092276783118614e-08		2.6544537693816563e+17
SiO	1	1.0	K1	5000	0.00017035043371786137		12794400325446.904
SiO	1	1.0	F8	6000	0.03400028190997168		10483724016323.068
SiO	1	1.0	A6	8000	2.3232865184444034		17810506527331.484
SiO	1	1.0	A0	10000	24.04728714933983		23322755889790.184
SiO	1	1.0	B5	15000	196.42890646456672		27188566767995.035
SiO	1	1.0	B0	30000	1767.3895528229727		30838576754075.125
SiO	1	1.0	O0	50000	5623.291208539577		34986292210549.348
SiO	10	10.0	M6	3000	4.1103484809039406e-08		2.6683316558452347e+18
SiO	10	10.0	K1	5000	0.0002790129746416966		105881261181506.33
SiO	10	10.0	F8	6000	0.04115771722748037		116839976398410.4
SiO	10	10.0	A6	8000	2.412013660893145		173948276041185.88
SiO	10	10.0	A0	10000	28.174280189931164		167706948367393.06
SiO	10	10.0	B5	15000	229.9310267242397		175668432811862.94
SiO	10	10.0	B0	30000	2091.9583241583696		187223705540297.72
SiO	10	10.0	O0	50000	6360.084074123202		199876875146969.75
SiO	100	100.0	M6	3000	4.755427203171661e-08		2.6150858292221833e+19
SiO	100	100.0	K1	5000	0.00024055486482759796		1388951663453249.0
SiO	100	100.0	F8	6000	0.03555803433056283		1556531523923371.0
SiO	100	100.0	A6	8000	2.8622343646569695		1626359382421571.0
SiO	100	100.0	A0	10000	26.95505815872201		1753525103883662.0
SiO	100	100.0	B5	15000	213.3629023180009		1888244043855853.8
SiO	100	100.0	B0	30000	1970.8481991074098		1976937806604497.2
SiO	100	100.0	O0	50000	5958.290812668683		2062689026999233.8
TiO	0	1e-20	M6	3000			
TiO	0	1e-20	K1	5000			
TiO	0	1e-20	F8	6000			
TiO	0	1e-20	A6	8000			
TiO	0	1e-20	A0	10000			
TiO	0	1e-20	B5	15000			
TiO	0	1e-20	B0	30000			
TiO	0	1e-20	O0	50000			
